Player,Squad,Nation,Pos,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR,Playing Time - Mn/MP,Playing Time - Min%,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%,Season
Keyliane Abdallah,Marseille,FR,FW,Ligue 1,18.0,2006.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,41.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,9.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,3.3,0,0.0,0,1,3.0,0,3.0,0.0,0.0,0.0,0.0,-4.14,0.0,0.0,0.0,-0.49,-1.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2024-2025
Yunis Abdelhamid,Saint-Étienne,MA,DF,Ligue 1,36.0,1987.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,1.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,17.6,0.0,0.0,0.0,0.02,0.0,0.0,25.0,33.0,75.8,401.0,169.0,12.0,13.0,92.3,12.0,16.0,75.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,25.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,3.0,0.0,1.0,4.0,4.0,0.0,46.0,11.0,33.0,10.0,3.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,21.0,57.0,26.0,0.0,0.0,0.0,1.0,0.0,21.0,2.0,90.0,100.0,1,90.0,1,0,0.0,0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.4,2.0,-1.5,-1.51,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,,,,,,,,,,,,,,,,2024-2025
Himad Abdelli,Angers,DZ,"FW,MF",Ligue 1,24.0,1999.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0,0.03,0.0,0.0,41.0,62.0,66.1,493.0,116.0,25.0,32.0,78.1,13.0,18.0,72.2,0.0,8.0,0.0,0.0,0.1,0.1,-0.1,1.0,5.0,1.0,0.0,6.0,62.0,53.0,8.0,4.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,41.0,1.0,1.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,79.0,0.0,3.0,37.0,39.0,1.0,79.0,8.0,3.0,37.5,5.0,62.5,37.0,224.0,149.0,4.0,2.0,0.0,4.0,3.0,56.0,3.0,90.0,100.0,1,90.0,1,0,0.0,0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.4,1.2,-0.8,-0.83,0.0,0.0,1.0,3.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0,,,,,,,,,,,,,,,,2024-2025
Abel,Osasuna,ES,DF,La Liga,24.0,2000.0,1.0,1.0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,43.0,72.1,498.0,209.0,18.0,20.0,90.0,8.0,14.0,57.1,4.0,8.0,50.0,0.0,0.2,0.2,-0.2,3.0,3.0,3.0,3.0,2.0,43.0,30.0,13.0,1.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,3.0,4.58,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,51.0,0.0,15.0,23.0,13.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,15.0,66.0,28.0,2.0,2.0,0.0,1.0,1.0,22.0,5.0,59.0,65.6,1,59.0,0,0,0.0,0,1.0,0.0,1.0,-1.0,-1.53,-4.43,0.6,0.7,-0.1,-0.16,-2.69,0.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,2024-2025
Nabil Aberdin,Getafe,FR,MF,La Liga,22.0,2002.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34.9,0.0,0.0,0.0,0.02,0.0,0.0,11.0,20.0,55.0,212.0,69.0,1.0,5.0,20.0,4.0,5.0,80.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,29.0,1.0,9.0,16.0,4.0,2.0,29.0,1.0,1.0,100.0,0.0,0.0,11.0,62.0,28.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,90.0,100.0,1,90.0,1,0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.3,0.5,0.51,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,5.0,0.0,100.0,,,,,,,,,,,,,,,,2024-2025
Oliver Abildgaard,Como,DK,MF,Serie A,28.0,1996.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,21.0,7.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.8,0,0.0,0,1,7.0,0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,-0.61,0.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2024-2025
Matthis Abline,Nantes,FR,FW,Ligue 1,21.0,2003.0,1.0,1.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.21,0.05,0.26,0.21,0.26,1.0,0.0,4.0,0.0,0.0,4.04,0.0,0.0,0.0,16.3,0.0,0.0,0.0,0.05,-0.2,-0.2,10.0,14.0,71.4,173.0,37.0,5.0,6.0,83.3,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.1,0.0,-0.1,2.0,1.0,0.0,0.0,3.0,14.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,2.0,4.0,6.0,17.0,5.0,24.0,1.0,0.0,0.0,1.0,100.0,21.0,161.0,73.0,4.0,2.0,2.0,2.0,2.0,24.0,7.0,89.0,98.9,1,89.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,-0.8,-0.77,41.85,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,22.2,,,,,,,,,,,,,,,,2024-2025
Abner,Lyon,BR,DF,Ligue 1,24.0,2000.0,1.0,1.0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,75.0,82.7,820.0,453.0,40.0,45.0,88.9,18.0,20.0,90.0,3.0,6.0,50.0,0.0,0.0,0.3,0.0,1.0,5.0,1.0,0.0,9.0,75.0,60.0,14.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,3.0,3.21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,82.0,6.0,22.0,43.0,17.0,2.0,82.0,0.0,0.0,0.0,0.0,0.0,39.0,222.0,166.0,4.0,0.0,0.0,0.0,0.0,53.0,4.0,84.0,93.3,1,84.0,0,0,0.0,0,0.0,0.0,2.0,-2.0,-2.14,12.86,1.9,2.0,-0.1,-0.07,-1.33,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2024-2025
Zakaria Aboukhlal,Toulouse,MA,FW,Ligue 1,24.0,2000.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,4.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71,1.0,0.0,4.0,3.0,75.0,4.0,3.0,0.0,0.0,16.1,0.0,0.0,0.0,0.18,-0.7,-0.7,21.0,28.0,75.0,273.0,80.0,12.0,15.0,80.0,7.0,8.0,87.5,0.0,2.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,1.0,0.0,3.0,28.0,25.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,21.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,12.0,31.0,7.0,43.0,3.0,1.0,33.3,2.0,66.7,26.0,132.0,69.0,4.0,1.0,2.0,2.0,2.0,33.0,11.0,90.0,100.0,1,90.0,1,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.7,0.5,1.2,1.23,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,33.3,,,,,,,,,,,,,,,,2024-2025
Abdel Abqar,Alavés,MA,DF,La Liga,25.0,1999.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,59.3,385.0,129.0,3.0,4.0,75.0,9.0,12.0,75.0,4.0,11.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,35.0,1.0,15.0,19.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,16.0,48.0,24.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,90.0,100.0,1,90.0,1,0,0.0,0,0.0,1.0,2.0,-1.0,-1.0,0.0,1.6,0.8,0.8,0.78,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2024-2025
Tammy Abraham,Roma,EN,FW,Serie A,26.0,1997.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,44.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,1.1,0,0.0,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-3.09,-3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,,,,,,,,,,,,,,,,2024-2025
Francesco Acerbi,Inter,IT,DF,Serie A,36.0,1988.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,78.0,92.3,1411.0,514.0,22.0,26.0,84.6,46.0,47.0,97.9,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,78.0,75.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,86.0,6.0,29.0,53.0,4.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,61.0,311.0,183.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,90.0,100.0,1,90.0,1,0,0.0,0,1.0,2.0,2.0,0.0,0.0,0.0,1.9,2.1,-0.2,-0.24,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,1.0,85.7,,,,,,,,,,,,,,,,2024-2025
Akor Adams,Montpellier,NG,FW,Ligue 1,24.0,2000.0,1.0,1.0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,0.9,0.0,3.0,3.0,100.0,3.42,3.42,0.0,0.0,11.3,0.0,0.0,0.0,0.13,-0.4,-0.4,3.0,9.0,33.3,37.0,12.0,1.0,3.0,33.3,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,10.0,4.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,12.0,0.0,0.0,0.0,1.0,2.0,13.0,3.0,79.0,87.8,1,79.0,0,0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.3,0.7,0.6,0.72,2.57,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,100.0,,,,,,,,,,,,,,,,2024-2025
Che Adams,Torino,SC,FW,Serie A,28.0,1996.0,1.0,0.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,156.0,46.0,1.0,2.0,50.0,1.0,1.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,8.0,1.0,0.0,10.0,1.0,1.0,100.0,0.0,0.0,3.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,31.0,34.4,0,0.0,0,1,31.0,0,1.0,1.0,2.0,-1.0,-2.9,-4.43,0.7,0.7,0.1,0.18,1.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,2024-2025
Simon Adingra,Brighton,CI,FW,Premier League,22.0,2002.0,1.0,0.0,46.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,0.0,7.0,1.96,0.0,1.96,1.96,1.96,0.33,0.0,0.33,0.33,0.33,0.5,1.0,2.0,1.0,50.0,3.91,1.96,0.5,1.0,15.1,0.0,0.0,0.0,0.08,0.8,0.8,13.0,21.0,61.9,170.0,28.0,10.0,14.0,71.4,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,1.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,31.0,0.0,2.0,15.0,15.0,4.0,31.0,1.0,0.0,0.0,1.0,100.0,20.0,187.0,84.0,2.0,2.0,2.0,2.0,2.0,22.0,7.0,46.0,51.1,0,0.0,0,1,46.0,0,3.0,2.0,0.0,2.0,3.91,1.87,0.4,0.2,0.2,0.33,-1.32,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2024-2025
Michel Aebischer,Bologna,CH,MF,Serie A,27.0,1997.0,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,0.2,0.0,2.0,2.0,100.0,12.0,12.0,0.0,0.0,25.4,1.0,0.0,0.0,0.04,-0.1,-0.1,12.0,16.0,75.0,243.0,37.0,7.0,7.0,100.0,3.0,3.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,16.0,14.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,1.0,2.0,6.0,11.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,15.0,16.7,0,0.0,0,1,15.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.85,-1.69,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0,,,,,,,,,,,,,,,,2024-2025
