,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Christian Abbiati,it ITA,GK,Milan,Serie A,38.0,1977.0,1.0,0.0,72.0,0.8,0.0,0.0,5.0,5.0,100.0,0.0,1.0,0.0,1.0,,,,,,
1,Antonio Adán,es ESP,GK,Betis,La Liga,28.0,1987.0,36.0,36.0,3213.0,35.7,50.0,1.4,179.0,129.0,72.1,10.0,11.0,15.0,12.0,33.3,1.0,0.0,0.0,1.0,
2,René Adler,de GER,GK,Hamburger SV,Bundesliga,30.0,1985.0,24.0,24.0,2071.0,23.0,33.0,1.43,114.0,81.0,71.1,7.0,6.0,10.0,5.0,20.8,,,,,
3,Adrián,es ESP,GK,West Ham,Premier League,28.0,1987.0,32.0,32.0,2880.0,32.0,39.0,1.22,138.0,99.0,71.7,13.0,14.0,5.0,9.0,28.1,,,,,
4,Kossi Agassa,tg TOG,GK,Reims,Ligue 1,37.0,1978.0,11.0,11.0,901.0,10.0,13.0,1.3,48.0,35.0,72.9,3.0,3.0,4.0,1.0,9.1,,,,,
5,Ali Ahamada,km COM,GK,Toulouse,Ligue 1,23.0,1991.0,6.0,6.0,540.0,6.0,15.0,2.5,32.0,17.0,53.1,0.0,2.0,4.0,0.0,0.0,,,,,
6,Fabrizio Alastra,it ITA,GK,Palermo,Serie A,17.0,1997.0,2.0,1.0,144.0,1.6,6.0,3.75,12.0,6.0,50.0,0.0,0.0,2.0,0.0,0.0,,,,,
7,Ryan Allsop,eng ENG,GK,Bournemouth,Premier League,23.0,1992.0,1.0,0.0,45.0,0.5,1.0,2.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,,,,,
8,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,28.0,1986.0,31.0,30.0,2725.0,30.3,47.0,1.55,126.0,82.0,65.1,12.0,8.0,10.0,7.0,23.3,4.0,3.0,0.0,1.0,0.0
9,Diego Alves,br BRA,GK,Valencia,La Liga,30.0,1985.0,13.0,13.0,1170.0,13.0,21.0,1.62,68.0,48.0,70.6,6.0,1.0,6.0,1.0,7.7,1.0,1.0,0.0,0.0,0.0
10,Ionuț Andrei Radu,ro ROU,GK,Inter,Serie A,,,1.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
11,Alphonse Areola,fr FRA,GK,Villarreal,La Liga,22.0,1993.0,32.0,32.0,2880.0,32.0,26.0,0.81,104.0,80.0,76.0,17.0,8.0,7.0,15.0,46.9,2.0,1.0,1.0,0.0,50.0
12,Giedrius Arlauskis,lt LTU,GK,Watford,Premier League,27.0,1987.0,1.0,0.0,24.0,0.3,1.0,3.75,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,,,,,
13,Giedrius Arlauskis,lt LTU,GK,Espanyol,La Liga,27.0,1987.0,3.0,3.0,225.0,2.5,12.0,4.8,18.0,7.0,38.9,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
14,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,26.0,1989.0,4.0,4.0,360.0,4.0,5.0,1.25,17.0,13.0,76.5,1.0,2.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0
15,Mariano Barbosa,ar ARG,GK,Villarreal,La Liga,31.0,1984.0,2.0,2.0,180.0,2.0,4.0,2.0,10.0,6.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,Francesco Bardi,it ITA,GK,Frosinone,Serie A,23.0,1992.0,2.0,2.0,119.0,1.3,3.0,2.27,12.0,9.0,75.0,0.0,1.0,0.0,0.0,0.0,,,,,
17,Davide Bassi,it ITA,GK,Atalanta,Serie A,30.0,1985.0,1.0,1.0,90.0,1.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,,,,,
18,Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,25.0,1990.0,33.0,33.0,2970.0,33.0,50.0,1.52,195.0,145.0,74.4,9.0,10.0,14.0,6.0,18.2,,,,,
19,Asmir Begović,ba BIH,GK,Chelsea,Premier League,28.0,1987.0,17.0,15.0,1399.0,15.5,24.0,1.54,79.0,55.0,69.6,4.0,5.0,7.0,4.0,26.7,,,,,
20,Vid Belec,si SVN,GK,Carpi,Serie A,25.0,1990.0,30.0,30.0,2700.0,30.0,41.0,1.37,124.0,83.0,66.9,8.0,8.0,14.0,6.0,20.0,,,,,
21,Diego Benaglio,ch SUI,GK,Wolfsburg,Bundesliga,31.0,1983.0,21.0,21.0,1890.0,21.0,39.0,1.86,103.0,64.0,62.1,5.0,5.0,11.0,5.0,23.8,,,,,
22,Francesco Benussi,it ITA,GK,Carpi,Serie A,33.0,1981.0,4.0,4.0,298.0,3.3,3.0,0.91,11.0,8.0,72.7,0.0,2.0,1.0,1.0,25.0,,,,,
23,Etrit Berisha,al ALB,GK,Lazio,Serie A,26.0,1989.0,11.0,9.0,873.0,9.7,13.0,1.34,43.0,30.0,69.8,5.0,3.0,2.0,2.0,22.2,,,,,
24,Paul Bernardoni,fr FRA,GK,Bordeaux,Ligue 1,18.0,1997.0,7.0,7.0,630.0,7.0,18.0,2.57,37.0,19.0,51.4,1.0,2.0,4.0,1.0,14.3,,,,,
26,Paul Bernardoni,fr FRA,GK,Troyes,Ligue 1,18.0,1997.0,14.0,14.0,1260.0,14.0,26.0,1.86,82.0,56.0,68.3,1.0,6.0,7.0,2.0,14.3,,,,,
27,Beto,pt POR,GK,Sevilla,La Liga,33.0,1982.0,4.0,4.0,360.0,4.0,8.0,2.0,21.0,14.0,66.7,0.0,2.0,2.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0
28,Albano Bizzarri,ar ARG,GK,Chievo,Serie A,37.0,1977.0,35.0,35.0,3150.0,35.0,43.0,1.23,160.0,117.0,73.1,12.0,10.0,13.0,11.0,31.4,,,,,
